pathway,Primary common-five analysis,All-available-dose sensitivity analysis,Lowest-four-dose sensitivity analysis,family3_common_five_strong_contexts,family3_common_five_weak_contexts,family3_common_five_family_vote,family3_common_five_family_weak_support,family3_common_five_model_restricted,family3_common_five_context_states,family3_all_available_strong_contexts,family3_all_available_weak_contexts,family3_all_available_family_vote,family3_all_available_family_weak_support,family3_all_available_model_restricted,family3_all_available_context_states,family3_lowest_four_strong_contexts,family3_lowest_four_weak_contexts,family3_lowest_four_family_vote,family3_lowest_four_family_weak_support,family3_lowest_four_model_restricted,family3_lowest_four_context_states,reproducibility_grade_varies,dose_definitions
TGF-beta Signaling,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,0,1,,UP,False,liver_spheroid_24h:WEAK_UP;liver_spheroid_240h:NO_EVIDENCE,0,1,,UP,False,liver_spheroid_24h:WEAK_UP;liver_spheroid_240h:NO_EVIDENCE,0,1,,UP,False,liver_spheroid_24h:WEAK_UP;liver_spheroid_240h:NO_EVIDENCE,False,"primary: 0.06, 0.67, 3.35, 6.7, 17 uM at both durations; all-available sensitivity: those doses plus 33 uM at 24 h; lowest-four sensitivity: 0.06, 0.67, 3.35, 6.7 uM at both durations"
TNF-alpha Signaling via NF-kB,R3,R3,R3,1,0,UP,,True,liver_spheroid_24h:STRONG_UP;liver_spheroid_240h:NO_EVIDENCE,1,0,UP,,True,liver_spheroid_24h:STRONG_UP;liver_spheroid_240h:NO_EVIDENCE,1,0,UP,,True,liver_spheroid_24h:STRONG_UP;liver_spheroid_240h:NO_EVIDENCE,False,"primary: 0.06, 0.67, 3.35, 6.7, 17 uM at both durations; all-available sensitivity: those doses plus 33 uM at 24 h; lowest-four sensitivity: 0.06, 0.67, 3.35, 6.7 uM at both durations"
UV Response Dn,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,0,1,,UP,False,liver_spheroid_24h:WEAK_UP;liver_spheroid_240h:NO_EVIDENCE,0,1,,UP,False,liver_spheroid_24h:WEAK_UP;liver_spheroid_240h:NO_EVIDENCE,0,1,,UP,False,liver_spheroid_24h:WEAK_UP;liver_spheroid_240h:NO_EVIDENCE,False,"primary: 0.06, 0.67, 3.35, 6.7, 17 uM at both durations; all-available sensitivity: those doses plus 33 uM at 24 h; lowest-four sensitivity: 0.06, 0.67, 3.35, 6.7 uM at both durations"
UV Response Up,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,False,"primary: 0.06, 0.67, 3.35, 6.7, 17 uM at both durations; all-available sensitivity: those doses plus 33 uM at 24 h; lowest-four sensitivity: 0.06, 0.67, 3.35, 6.7 uM at both durations"
Unfolded Protein Response,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,1,,UP,False,liver_spheroid_24h:WEAK_UP;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,False,"primary: 0.06, 0.67, 3.35, 6.7, 17 uM at both durations; all-available sensitivity: those doses plus 33 uM at 24 h; lowest-four sensitivity: 0.06, 0.67, 3.35, 6.7 uM at both durations"
Wnt-beta Catenin Signaling,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,False,"primary: 0.06, 0.67, 3.35, 6.7, 17 uM at both durations; all-available sensitivity: those doses plus 33 uM at 24 h; lowest-four sensitivity: 0.06, 0.67, 3.35, 6.7 uM at both durations"
Xenobiotic Metabolism,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,1,,DOWN,False,liver_spheroid_24h:WEAK_DOWN;liver_spheroid_240h:NO_EVIDENCE,False,"primary: 0.06, 0.67, 3.35, 6.7, 17 uM at both durations; all-available sensitivity: those doses plus 33 uM at 24 h; lowest-four sensitivity: 0.06, 0.67, 3.35, 6.7 uM at both durations"
heme Metabolism,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,0,1,,DOWN,False,liver_spheroid_24h:WEAK_DOWN;liver_spheroid_240h:NO_EVIDENCE,0,1,,DOWN,False,liver_spheroid_24h:WEAK_DOWN;liver_spheroid_240h:NO_EVIDENCE,0,1,,DOWN,False,liver_spheroid_24h:WEAK_DOWN;liver_spheroid_240h:NO_EVIDENCE,False,"primary: 0.06, 0.67, 3.35, 6.7, 17 uM at both durations; all-available sensitivity: those doses plus 33 uM at 24 h; lowest-four sensitivity: 0.06, 0.67, 3.35, 6.7 uM at both durations"
mTORC1 Signaling,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,False,"primary: 0.06, 0.67, 3.35, 6.7, 17 uM at both durations; all-available sensitivity: those doses plus 33 uM at 24 h; lowest-four sensitivity: 0.06, 0.67, 3.35, 6.7 uM at both durations"
p53 Pathway,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,NOT_REPRODUCIBLE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,0,0,,,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE,False,"primary: 0.06, 0.67, 3.35, 6.7, 17 uM at both durations; all-available sensitivity: those doses plus 33 uM at 24 h; lowest-four sensitivity: 0.06, 0.67, 3.35, 6.7 uM at both durations"
